robot_id,node_id,ETA
A1,N02,6.800000000000001
A1,N12,13.8
A1,N22,21.400000000000002
A1,N23,28.400000000000002
A1,N24,35.0
A1,N14,80.0
A1,N24,89.4
A1,N34,96.2
A1,N33,103.2
A1,N23,110.4
A1,N13,123.4
A1,N03,130.0
A1,N02,137.4
A1,N01,149.0
A2,N33,7.0
A2,N32,34.2
A2,N22,41.6
A2,N12,48.2
A2,N13,55.400000000000006
A2,N14,62.0
A2,N04,69.2
A2,N03,76.4
A2,N02,83.4
A2,N03,91.0
A2,N04,97.2
A2,N14,104.60000000000001
A2,N24,111.4
A2,N34,122.80000000000001
A3,N21,7.0
A3,N11,54.800000000000004
A3,N12,68.60000000000001
A3,N13,75.2
A3,N03,110.4
A3,N02,117.60000000000001
A3,N01,124.2
A3,N11,131.4
A3,N21,138.6
A3,N31,150.20000000000002
